count,icd_version,code,description,group_order,main_group,fungal_group,organ_system,bodysite,fungal_order,fungal_genus,fungal_species,cat_internal_external,cat_disease_type
312,ICD-11,1D022,Fungal myelitis,12,General Mycoses,Nonspecific Neuromycoses,nervous,brain,Nonspecific,Nonspecific,Nonspecific,internal,invasive
313,ICD-11,DA2511,Fungal oesophageal ulcer,12,General Mycoses,Nonspecific,digestive,esophagus,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
314,ICD-11,CA402,Fungal pneumonia,12,General Mycoses,Nonspecific Pneumomycoses,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
315,ICD-11,CA402Z,Fungal pneumonia unspecified,12,General Mycoses,Nonspecific Pneumomycoses,respiratory,unspecified,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
316,ICD-11,FA122,Fungal postinfectious arthropathies,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,joint,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
317,ICD-11,1F283,Genitocrural dermatophytosis,10,Dermatomycoses,Dermatophyte,integumentary,genitourinary,Onygenales,Nonspecific,Nonspecific,external,nonspecific
318,ICD-11,1F284,Kerion,10,Dermatomycoses,Dermatophyte,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,external,nonspecific
319,ICD-11,CA704,Malt worker lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
320,ICD-11,CA706,Maple bark strippers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
321,ICD-11,CA705,Mushroom workers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
322,ICD-11,BlockL1-1F2,Mycoses,12,General Mycoses,Nonspecific,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
323,ICD-11,1F2Z,Mycoses unspecified,12,General Mycoses,Nonspecific,nonspecific,unspecified,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
324,ICD-11,EH12,Neonatal fungal infections involving the skin,10,Dermatomycoses,Nonspecific Dermatomycoses,pediatric,skin,Nonspecific,Nonspecific,Nonspecific,external,nonspecific
325,ICD-11,1F2D,Nondermatophyte superficial dermatomycoses,10,Dermatomycoses,Nondermatophyte,integumentary,skin nails hair,Chaetothyriales Eurotiales Hypocreales Sordariales,Nonspecific,Nonspecific,external,noninvasive
326,ICD-11,1F2DZ,Nondermatophyte superficial dermatomycoses unspecified,10,Dermatomycoses,Nondermatophyte,integumentary,unspecified,Chaetothyriales Eurotiales Hypocreales Sordariales,Nonspecific,Nonspecific,external,noninvasive
327,ICD-11,EE121,Onychomycosis,10,Dermatomycoses,Dermatophyte,integumentary,nail,Onygenales,Nonspecific,Nonspecific,external,nonspecific
328,ICD-11,1F2D5,Onychomycosis due to nondermatophyte mould,10,Dermatomycoses,Nondermatophyte,integumentary,nail,Chaetothyriales Eurotiales Hypocreales Sordariales,Nonspecific,Nonspecific,external,nonspecific
329,ICD-11,1F28Y,Other specified dermatophytosis,10,Dermatomycoses,Dermatophyte,integumentary,other,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
330,ICD-11,KA63Y,Other specified fungal infection of fetus or newborn,12,General Mycoses,Nonspecific Pediatric Mycoses,pediatric,other,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
331,ICD-11,CA402Y,Other specified fungal pneumonia,12,General Mycoses,Nonspecific Pneumomycoses,respiratory,other,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
332,ICD-11,1F2Y,Other specified mycoses,12,General Mycoses,Nonspecific,nonspecific,other,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
