count,icd_version,code,description,group_order,main_group,fungal_group,organ_system,bodysite,fungal_order,fungal_genus,fungal_species,cat_internal_external,cat_disease_type
40,ICD-9,11512,Infection by Histoplasma duboisii retinitis,6,Histoplasma,Histoplasma duboisii,nervous,eye,Onygenales,Histoplasma,Histoplasma duboisii,internal,nonspecific
41,ICD-9,11510,Infection by Histoplasma duboisii without mention of manifestation,6,Histoplasma,Histoplasma duboisii,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasma duboisii,nonspecific,unspecified
42,ICD-9,11594,Histoplasmosis unspecified endocarditis,6,Histoplasma,Histoplasma,cardiovascular,heart,Onygenales,Histoplasma,Histoplasmosis unspecified,internal,nonspecific
43,ICD-9,11591,Histoplasmosis unspecified meningitis,6,Histoplasma,Histoplasma,nervous,brain,Onygenales,Histoplasma,Histoplasmosis unspecified,internal,nonspecific
44,ICD-9,11599,Histoplasmosis unspecified other,6,Histoplasma,Histoplasma,nonspecific,other,Onygenales,Histoplasma,Histoplasmosis unspecified,nonspecific,unspecified
45,ICD-9,11593,Histoplasmosis unspecified pericarditis,6,Histoplasma,Histoplasma,cardiovascular,heart,Onygenales,Histoplasma,Histoplasmosis unspecified,internal,nonspecific
46,ICD-9,11595,Histoplasmosis unspecified pneumonia,6,Histoplasma,Histoplasma,respiratory,lungs,Onygenales,Histoplasma,Histoplasmosis unspecified,internal,nonspecific
47,ICD-9,11592,Histoplasmosis unspecified retinitis,6,Histoplasma,Histoplasma,nervous,eye,Onygenales,Histoplasma,Histoplasmosis unspecified,internal,nonspecific
48,ICD-9,11590,Histoplasmosis unspecified without mention of manifestation,6,Histoplasma,Histoplasma,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasmosis unspecified,nonspecific,unspecified
49,ICD-9,1162,Lobomycosis,11,Other Fungus-specific Mycoses,Lacazia,nonspecific,nonspecific,Onygenales,Lacazia,Nonspecific,nonspecific,nonspecific
50,ICD-9,1110,Pityriasis versicolor,10,Dermatomycoses,Malassezia,integumentary,skin,Malasseziales,Malassezia,Nonspecific,external,nonspecific
51,ICD-9,1177,Zygomycosis Phycomycosis Mucormycosis,7,Mucorales,Mucorales,nonspecific,nonspecific,Mucorales Entomophthorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea Conidiobolus Basidiobolus,Nonspecific,nonspecific,nonspecific
52,ICD-9,71167,Arthropathy associated with mycoses ankle and foot,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,ankle foot,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
53,ICD-9,71163,Arthropathy associated with mycoses forearm,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,forearm,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
54,ICD-9,71164,Arthropathy associated with mycoses hand,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,hand,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
55,ICD-9,71169,Arthropathy associated with mycoses involving multiple sites,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,joint,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
56,ICD-9,71166,Arthropathy associated with mycoses lower leg,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,lower leg,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
57,ICD-9,71168,Arthropathy associated with mycoses other specified sites,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,joint,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
58,ICD-9,71165,Arthropathy associated with mycoses pelvic region and thigh,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,pelvis thigh,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
59,ICD-9,71161,Arthropathy associated with mycoses shoulder region,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,shoulder,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
60,ICD-9,71160,Arthropathy associated with mycoses site unspecified,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,joint,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
61,ICD-9,71162,Arthropathy associated with mycoses upper arm,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,upper arm,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
62,ICD-9,1113,Black piedra,10,Dermatomycoses,Nondermatophyte Pigmented,integumentary,hair,Capnodiales,Nonspecific,Nonspecific,external,nonspecific
63,ICD-9,1172,Chromoblastomycosis,12,General Mycoses,Pigmented Fungi,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
64,ICD-9,38015,Chronic mycotic otitis externa,12,General Mycoses,Nonspecific Otomycoses,nervous,ear,Nonspecific,Nonspecific,Nonspecific,external,chronic
65,ICD-9,1106,Deep seated dermatophytosis,10,Dermatomycoses,Dermatophyte,integumentary,other,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
66,ICD-9,1119,Dermatomycosis unspecified,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,unspecified,Nonspecific,Nonspecific,Nonspecific,external,unspecified
67,ICD-9,1104,Dermatophytosis of foot,10,Dermatomycoses,Dermatophyte,integumentary,foot,Onygenales,Nonspecific,Nonspecific,external,nonspecific
68,ICD-9,1103,Dermatophytosis of groin and perianal area,10,Dermatomycoses,Dermatophyte,integumentary,genitourinary,Onygenales,Nonspecific,Nonspecific,external,nonspecific
69,ICD-9,1102,Dermatophytosis of hand,10,Dermatomycoses,Dermatophyte,integumentary,hand,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
70,ICD-9,1101,Dermatophytosis of nail,10,Dermatomycoses,Dermatophyte,integumentary,nail,Onygenales,Nonspecific,Nonspecific,external,nonspecific
71,ICD-9,1108,Dermatophytosis of other specified sites,10,Dermatomycoses,Dermatophyte,integumentary,other,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
72,ICD-9,1100,Dermatophytosis of scalp and beard,10,Dermatomycoses,Dermatophyte,integumentary,head,Onygenales,Nonspecific,Nonspecific,external,nonspecific
73,ICD-9,1105,Dermatophytosis of the body,10,Dermatomycoses,Dermatophyte,integumentary,body,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
74,ICD-9,1109,Dermatophytosis of unspecified site,10,Dermatomycoses,Dermatophyte,integumentary,unspecified,Onygenales,Nonspecific,unspecified,external,unspecified
75,ICD-9,4950,Farmers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
76,ICD-9,4952,Bird fanciers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
77,ICD-9,1178,Infection by dematiacious fungi Phaehyphomycosis,12,General Mycoses,Pigmented Fungi,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
78,ICD-9,394,Madura foot,10,Dermatomycoses,Nondermatophyte,integumentary,foot,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
79,ICD-9,4954,Malt workers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
80,ICD-9,4956,Maple bark strippers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
81,ICD-9,3211,Meningitis in other fungal diseases,12,General Mycoses,Nonspecific Neuromycoses,nervous,brain,Nonspecific,Nonspecific,Nonspecific,internal,invasive
82,ICD-9,4955,Mushroom workers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
83,ICD-9,37005,Mycotic corneal ulcer,12,General Mycoses,Nonspecific Oculomycoses,nervous,eye,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
84,ICD-9,1174,Mycotic mycetomas,10,Dermatomycoses,Nondermatophyte,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
85,ICD-9,118,Opportunistic mycoses,12,General Mycoses,Nonspecific,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,opportunistic
86,ICD-9,1179,Other and unspecified mycoses,12,General Mycoses,Nonspecific,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
87,ICD-9,1118,Other specified dermatomycoses,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,other,Nonspecific,Nonspecific,Nonspecific,external,noninvasive
88,ICD-9,4847,Pneumonia in other systemic mycoses,12,General Mycoses,Nonspecific Pneumomycoses,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,invasive
89,ICD-9,4953,Suberosis,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
90,ICD-9,1112,Tinea blanca,10,Dermatomycoses,Nondermatophyte,integumentary,hair,Onygenales,Nonspecific,Nonspecific,external,nonspecific
91,ICD-9,1111,Tinea nigra,10,Dermatomycoses,Dermatophyte Pigmented,integumentary,skin,Onygenales,Nonspecific,Nonspecific,external,nonspecific
92,ICD-9,1161,Paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,nonspecific,nonspecific,Onygenales,Paracoccidioides,Nonspecific,nonspecific,nonspecific
93,ICD-9,1363,Pneumocystosis,11,Other Fungus-specific Mycoses,Pneumocystis,nonspecific,nonspecific,Pneumocystidales,Pneumocystis,Nonspecific,nonspecific,nonspecific
94,ICD-9,1171,Sporotrichosis,9,Sporothrix,Sporothrix,nonspecific,nonspecific,Ophiostomatales,Sporothrix,Nonspecific,nonspecific,nonspecific
95,ICD-10,B482,Allescheriasis,11,Other Fungus-specific Mycoses,Scedosporium,nonspecific,nonspecific,Microascales Onygenales,Scedosporium Pseudallescheria Allescheria,Nonspecific,nonspecific,nonspecific
96,ICD-10,B4481,Allergic bronchopulmonary aspergillosis,1,Aspergillus,Aspergillus,immune,lungs,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
97,ICD-10,B449,Aspergillosis unspecified,1,Aspergillus,Aspergillus,nonspecific,unspecified,Eurotiales,Aspergillus,Nonspecific,nonspecific,nonspecific
98,ICD-10,B447,Disseminated aspergillosis,1,Aspergillus,Aspergillus,systemic,disseminated,Eurotiales,Aspergillus,Nonspecific,nonspecific,invasive
99,ICD-10,B440,Invasive pulmonary aspergillosis,1,Aspergillus,Aspergillus,respiratory,lungs,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
100,ICD-10,B4489,Other forms of aspergillosis,1,Aspergillus,Aspergillus,nonspecific,nonspecific,Eurotiales,Aspergillus,Nonspecific,nonspecific,nonspecific
101,ICD-10,B441,Other pulmonary aspergillosis,1,Aspergillus,Aspergillus,respiratory,lungs,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
102,ICD-10,B442,Tonsillar aspergillosis,1,Aspergillus,Aspergillus,lymphatic,tonsils,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
103,ICD-10,B400,Acute pulmonary blastomycosis,2,Blastomyces,Blastomyces,respiratory,lungs,Onygenales,Blastomyces,Nonspecific,internal,acute
104,ICD-10,B409,Blastomycosis unspecified,2,Blastomyces,Blastomyces,nonspecific,nonspecific,Onygenales,Blastomyces,Nonspecific,nonspecific,nonspecific
105,ICD-10,B4081,Blastomycotic meningoencephalitis,2,Blastomyces,Blastomyces,nervous,brain,Onygenales,Blastomyces,Nonspecific,internal,nonspecific
106,ICD-10,B401,Chronic pulmonary blastomycosis,2,Blastomyces,Blastomyces,respiratory,lungs,Onygenales,Blastomyces,Nonspecific,internal,chronic
107,ICD-10,B403,Cutaneous blastomycosis,2,Blastomyces,Blastomyces,integumentary,skin,Onygenales,Blastomyces,Nonspecific,external,nonspecific
108,ICD-10,B407,Disseminated blastomycosis,2,Blastomyces,Blastomyces,systemic,disseminated,Onygenales,Blastomyces,Nonspecific,nonspecific,invasive
109,ICD-10,B4089,Other forms of blastomycosis,2,Blastomyces,Blastomyces,nonspecific,nonspecific,Onygenales,Blastomyces,Nonspecific,nonspecific,nonspecific
110,ICD-10,B402,Pulmonary blastomycosis unspecified,2,Blastomyces,Blastomyces,respiratory,lungs,Onygenales,Blastomyces,Nonspecific,internal,nonspecific
111,ICD-10,B3731,Acute candidiasis of vulva and vagina,3,Candida,Candida,genitourinary,vulva vagina,Saccharomycetales,Candida,Nonspecific,nonspecific,acute
112,ICD-10,B3742,Candidal balanitis,3,Candida,Candida,genitourinary,penis,Saccharomycetales,Candida,Nonspecific,external,noninvasive
113,ICD-10,B3783,Candidal cheilitis,3,Candida,Candida,integumentary,mouth,Saccharomycetales,Candida,Nonspecific,external,nonspecific
114,ICD-10,B3741,Candidal cystitis and urethritis,3,Candida,Candida,renal,urinary,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
115,ICD-10,B376,Candidal endocarditis,3,Candida,Candida,cardiovascular,heart,Saccharomycetales,Candida,Nonspecific,nonspecific,invasive
116,ICD-10,B3782,Candidal enteritis,3,Candida,Candida,digestive,gastrointestinal,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
117,ICD-10,B3781,Candidal esophagitis,3,Candida,Candida,digestive,esophagus,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
118,ICD-10,B375,Candidal meningitis,3,Candida,Candida,nervous,brain,Saccharomycetales,Candida,Nonspecific,internal,invasive
119,ICD-10,B3784,Candidal otitis externa,3,Candida,Candida,nervous,ear,Saccharomycetales,Candida,Nonspecific,external,nonspecific
120,ICD-10,B377,Candidal sepsis,3,Candida,Candida,systemic,blood,Saccharomycetales,Candida,Nonspecific,internal,invasive
121,ICD-10,B370,Candidal stomatitis,3,Candida,Candida,digestive,mouth,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
122,ICD-10,B372,Candidiasis of skin and nail,3,Candida,Candida,integumentary,skin nails,Saccharomycetales,Candida,Nonspecific,external,nonspecific
123,ICD-10,B373,Candidiasis of vulva and vagina,3,Candida,Candida,genitourinary,vulva vagina,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
124,ICD-10,B379,Candidiasis unspecified,3,Candida,Candida,nonspecific,unspecified,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
125,ICD-10,B3732,Chronic candidiasis of vulva and vagina,3,Candida,Candida,genitourinary,vulva vagina,Saccharomycetales,Candida,Nonspecific,nonspecific,chronic
126,ICD-10,P375,Neonatal candidiasis,3,Candida,Candida,pediatric,nonspecific,Saccharomycetales,Candida,Nonspecific,nonspecific,neonatal
127,ICD-10,B3789,Other sites of candidiasis,3,Candida,Candida,nonspecific,other,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
128,ICD-10,B3749,Other urogenital candidiasis,3,Candida,Candida,genitourinary,other,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
129,ICD-10,B371,Pulmonary candidiasis,3,Candida,Candida,respiratory,lungs,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
130,ICD-10,B380,Acute pulmonary coccidioidomycosis,4,Coccidioides,Coccidioides,respiratory,lungs,Onygenales,Coccidioides,Nonspecific,internal,acute
131,ICD-10,B381,Chronic pulmonary coccidioidomycosis,4,Coccidioides,Coccidioides,respiratory,lungs,Onygenales,Coccidioides,Nonspecific,internal,chronic
132,ICD-10,B384,Coccidioidomycosis meningitis,4,Coccidioides,Coccidioides,nervous,brain,Onygenales,Coccidioides,Nonspecific,internal,invasive
133,ICD-10,B389,Coccidioidomycosis unspecified,4,Coccidioides,Coccidioides,nonspecific,unspecified,Onygenales,Coccidioides,Nonspecific,nonspecific,nonspecific
134,ICD-10,B383,Cutaneous coccidioidomycosis,4,Coccidioides,Coccidioides,integumentary,skin,Onygenales,Coccidioides,Nonspecific,external,nonspecific
135,ICD-10,B387,Disseminated coccidioidomycosis,4,Coccidioides,Coccidioides,systemic,disseminated,Onygenales,Coccidioides,Nonspecific,nonspecific,invasive
136,ICD-10,B3889,Other forms of coccidioidomycosis,4,Coccidioides,Coccidioides,nonspecific,other,Onygenales,Coccidioides,Nonspecific,nonspecific,nonspecific
137,ICD-10,B3881,Prostatic coccidioidomycosis,4,Coccidioides,Coccidioides,genitourinary,prostate,Onygenales,Coccidioides,Nonspecific,internal,localized
138,ICD-10,B382,Pulmonary coccidioidomycosis unspecified,4,Coccidioides,Coccidioides,respiratory,lungs,Onygenales,Coccidioides,Nonspecific,internal,nonspecific
139,ICD-10,B451,Cerebral cryptococcosis,5,Cryptococcus,Cryptococcus,nervous,brain,Tremellales,Cryptococcus,Nonspecific,internal,invasive
140,ICD-10,B459,Cryptococcosis unspecified,5,Cryptococcus,Cryptococcus,nonspecific,unspecified,Tremellales,Cryptococcus,Nonspecific,nonspecific,nonspecific
141,ICD-10,B452,Cutaneous cryptococcosis,5,Cryptococcus,Cryptococcus,integumentary,skin,Tremellales,Cryptococcus,Nonspecific,external,nonspecific
142,ICD-10,B457,Disseminated cryptococcosis,5,Cryptococcus,Cryptococcus,systemic,disseminated,Tremellales,Cryptococcus,Nonspecific,nonspecific,invasive
143,ICD-10,B453,Osseous cryptococcosis,5,Cryptococcus,Cryptococcus,musculoskeletal,bone,Tremellales,Cryptococcus,Nonspecific,nonspecific,nonspecific
144,ICD-10,B458,Other forms of cryptococcosis,5,Cryptococcus,Cryptococcus,nonspecific,other,Tremellales,Cryptococcus,Nonspecific,nonspecific,nonspecific
145,ICD-10,B450,Pulmonary cryptococcosis,5,Cryptococcus,Cryptococcus,respiratory,lungs,Tremellales,Cryptococcus,Nonspecific,internal,nonspecific
146,ICD-10,B483,Geotrichosis,11,Other Fungus-specific Mycoses,Geotrichum/Magnusiomyces,nonspecific,nonspecific,Saccharomycetales,Geotrichum/Magnusiomyces,Nonspecific,nonspecific,nonspecific
147,ICD-10,B390,Acute pulmonary histoplasmosis capsulati,6,Histoplasma,Histoplasma capsulatum,respiratory,lungs,Onygenales,Histoplasma,Histoplasma capsulatum,internal,acute
148,ICD-10,B391,Chronic pulmonary histoplasmosis capsulati,6,Histoplasma,Histoplasma capsulatum,respiratory,lungs,Onygenales,Histoplasma,Histoplasma capsulatum,internal,chronic
149,ICD-10,B393,Disseminated histoplasmosis capsulati,6,Histoplasma,Histoplasma capsulatum,systemic,disseminated,Onygenales,Histoplasma,Histoplasma capsulatum,nonspecific,invasive
150,ICD-10,B394,Histoplasmosis capsulati unspecified,6,Histoplasma,Histoplasma capsulatum,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasma capsulatum,nonspecific,unspecified
151,ICD-10,B392,Pulmonary histoplasmosis capsulati unspecified,6,Histoplasma,Histoplasma capsulatum,respiratory,lungs,Onygenales,Histoplasma,Histoplasma capsulatum,internal,nonspecific
152,ICD-10,B395,Histoplasmosis duboisii,6,Histoplasma,Histoplasma duboisii,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasma duboisii,nonspecific,unspecified
153,ICD-10,B399,Histoplasmosis unspecified,6,Histoplasma,Histoplasma,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasmosis unspecified,nonspecific,unspecified
154,ICD-10,B480,Lobomycosis,11,Other Fungus-specific Mycoses,Lacazia,nonspecific,nonspecific,Onygenales,Lacazia,Nonspecific,nonspecific,nonspecific
155,ICD-10,B360,Pityriasis versicolor,10,Dermatomycoses,Malassezia,integumentary,skin,Malasseziales,Malassezia,Nonspecific,external,nonspecific
156,ICD-10,B463,Cutaneous mucormycosis,7,Mucorales,Mucorales,integumentary,skin nails hair,Mucorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea,Nonspecific,external,nonspecific
157,ICD-10,B464,Disseminated mucormycosis,7,Mucorales,Mucorales,systemic,disseminated,Mucorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea,Nonspecific,nonspecific,invasive
158,ICD-10,B462,Gastrointestinal mucormycosis,7,Mucorales,Mucorales,digestive,gastrointestinal,Mucorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea,Nonspecific,internal,nonspecific
159,ICD-10,B465,Mucormycosis unspecified,7,Mucorales,Mucorales,nonspecific,nonspecific,Mucorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea,Nonspecific,nonspecific,nonspecific
160,ICD-10,B460,Pulmonary mucormycosis,7,Mucorales,Mucorales,respiratory,lungs,Mucorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea,Nonspecific,internal,nonspecific
161,ICD-10,B461,Rhinocerebral mucormycosis,7,Mucorales,Mucorales,nervous,brain,Mucorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea,Nonspecific,internal,nonspecific
162,ICD-10,B468,Other zygomycoses,7,Mucorales,Mucorales,nonspecific,nonspecific,Mucorales Entomophthorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea Conidiobolus Basidiobolus,Nonspecific,nonspecific,nonspecific
163,ICD-10,B469,Zygomycosis unspecified,7,Mucorales,Mucorales,nonspecific,nonspecific,Mucorales Entomophthorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea Conidiobolus Basidiobolus,Nonspecific,nonspecific,nonspecific
164,ICD-10,J677,Air conditioner and humidifier lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
165,ICD-10,J672,Bird fanciers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
166,ICD-10,B363,Black piedra,10,Dermatomycoses,Nondermatophyte Pigmented,integumentary,hair,Capnodiales,Nonspecific,Nonspecific,external,nonspecific
167,ICD-10,B439,Chromomycosis unspecified,12,General Mycoses,Pigmented Fungi,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
168,ICD-10,B430,Cutaneous chromomycosis,10,Dermatomycoses,Nondermatophyte,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,external,nonspecific
169,ICD-10,B359,Dermatophytosis unspecified,10,Dermatomycoses,Dermatophyte,integumentary,unspecified,Onygenales,Nonspecific,unspecified,external,unspecified
170,ICD-10,B470,Eumycetoma,10,Dermatomycoses,Nondermatophyte,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
171,ICD-10,J670,Farmers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
172,ICD-10,J674,Maltworkers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
173,ICD-10,J676,Maple bark strippers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
174,ICD-10,J675,Mushroom workers lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
175,ICD-10,B479,Mycetoma unspecified,10,Dermatomycoses,Nondermatophyte,integumentary,unspecified,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
176,ICD-10,H16063,Mycotic corneal ulcer bilateral,12,General Mycoses,Nonspecific Oculomycoses,nervous,eye,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
177,ICD-10,H16062,Mycotic corneal ulcer left eye,12,General Mycoses,Nonspecific Oculomycoses,nervous,left eye,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
178,ICD-10,H16061,Mycotic corneal ulcer right eye,12,General Mycoses,Nonspecific Oculomycoses,nervous,right eye,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
179,ICD-10,H16069,Mycotic corneal ulcer unspecified eye,12,General Mycoses,Nonspecific Oculomycoses,nervous,eye,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
180,ICD-10,B358,Other dermatophytoses,10,Dermatomycoses,Dermatophyte,integumentary,other,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
181,ICD-10,B438,Other forms of chromomycosis,12,General Mycoses,Pigmented Fungi,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
182,ICD-10,B488,Other specified mycoses,12,General Mycoses,Nonspecific,nonspecific,other,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
183,ICD-10,B368,Other specified superficial mycoses,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,other,Nonspecific,Nonspecific,Nonspecific,external,noninvasive
184,ICD-10,B431,Pheomycotic brain abscess,12,General Mycoses,Pigmented Fungi,nervous,brain,Nonspecific,Nonspecific,Nonspecific,internal,invasive
185,ICD-10,K63822,Small intestinal fungal overgrowth,12,General Mycoses,Nonspecific,digestive,small intestine,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
186,ICD-10,B432,Subcutaneous pheomycotic abscess and cyst,10,Dermatomycoses,Nondermatophyte,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,internal,invasive
187,ICD-10,J673,Suberosis,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
188,ICD-10,B369,Superficial mycosis unspecified,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,unspecified,Nonspecific,Nonspecific,Nonspecific,external,unspecified
189,ICD-10,B350,Tinea barbae and tinea capitis,10,Dermatomycoses,Dermatophyte,integumentary,head,Onygenales,Nonspecific,Nonspecific,external,nonspecific
190,ICD-10,B354,Tinea corporis,10,Dermatomycoses,Dermatophyte,integumentary,body,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
191,ICD-10,B356,Tinea cruris,10,Dermatomycoses,Dermatophyte,integumentary,genitourinary,Onygenales,Nonspecific,Nonspecific,external,nonspecific
192,ICD-10,B355,Tinea imbricata,10,Dermatomycoses,Dermatophyte,integumentary,body,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
193,ICD-10,B352,Tinea manuum,10,Dermatomycoses,Dermatophyte,integumentary,hand,Onygenales,Nonspecific,Nonspecific,nonspecific,nonspecific
194,ICD-10,B361,Tinea nigra,10,Dermatomycoses,Dermatophyte Pigmented,integumentary,skin,Onygenales,Nonspecific,Nonspecific,external,nonspecific
195,ICD-10,B353,Tinea pedis,10,Dermatomycoses,Dermatophyte,integumentary,foot,Onygenales,Nonspecific,Nonspecific,external,nonspecific
196,ICD-10,B351,Tinea unguium,10,Dermatomycoses,Dermatophyte,integumentary,nail,Onygenales,Nonspecific,Nonspecific,external,nonspecific
197,ICD-10,B49,Unspecified mycosis,12,General Mycoses,Nonspecific,nonspecific,unspecified,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
198,ICD-10,B362,White piedra,10,Dermatomycoses,Nondermatophyte,integumentary,hair,Onygenales,Nonspecific,Nonspecific,external,nonspecific
199,ICD-10,B417,Disseminated paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,systemic,disseminated,Onygenales,Paracoccidioides,Nonspecific,nonspecific,invasive
200,ICD-10,B418,Other forms of paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,nonspecific,nonspecific,Onygenales,Paracoccidioides,Nonspecific,nonspecific,nonspecific
201,ICD-10,B419,Paracoccidioidomycosis unspecified,8,Paracoccidioides,Paracoccidioides,nonspecific,nonspecific,Onygenales,Paracoccidioides,Nonspecific,nonspecific,nonspecific
202,ICD-10,B410,Pulmonary paracoccidioidomycosis,8,Paracoccidioides,Paracoccidioides,respiratory,lungs,Onygenales,Paracoccidioides,Nonspecific,internal,nonspecific
