code,description
QA00101,scn2arelated neurodevelopmental disorder
QA00102,cacna1arelated neurodevelopmental disorder
QA00109,neurodevelopmental disorder related to pathogenic variant in other ion channel gene
QA0011,neurodevelopmental disorders related to pathogenic variants in glutamate receptor genes
QA0012,neurodevelopmental disorders related to pathogenic variants in other receptor genes
QA00131,slc6a1related disorder
QA00139,neurodevelopmental disorder related to pathogenic variant in other transporter or solute carrier gene
QA00141,syntaxinbinding protein 1related disorder
QA00142,dlg4related synaptopathy
QA00149,neurodevelopmental disorder related to pathogenic variant in other synapse related gene
QA00151,foxg1 syndrome
QA00159,neurodevelopmental disorder related to other genes associated with transcription and gene expression
QA08,other neurodevelopmental disorders related to pathogenic variants in other specific genes
R1020,pelvic and perineal pain unspecified side
R1021,pelvic and perineal pain right side
R1022,pelvic and perineal pain left side
R1023,pelvic and perineal pain bilateral
R1024,suprapubic pain
R1085,abdominal pain of multiple sites
R108A1,right flank tenderness
R108A2,left flank tenderness
R108A3,suprapubic tenderness
R108A9,flank tenderness unspecified
R10A0,flank pain unspecified side
R10A1,flank pain right side
R10A2,flank pain left side
R10A3,flank pain bilateral
R1116,cannabis hyperemesis syndrome
R39851,costovertebral angle tenderness right side
R39852,costovertebral angle tenderness left side
R39853,costovertebral angle tenderness bilateral
R39859,costovertebral angle tenderness unspecified side
R419,unspecified symptoms and signs involving cognitive functions and awareness
R448,other symptoms and signs involving general sensations and perceptions
R449,unspecified symptoms and signs involving general sensations and perceptions
R4584,anhedonia
R460,very low level of personal hygiene
R461,bizarre personal appearance
R462,strange and inexplicable behavior
R463,overactivity
R464,slowness and poor responsiveness
R465,suspiciousness and marked evasiveness
R466,undue concern and preoccupation with stressful events
R467,verbosity and circumstantial detail obscuring reason for contact
R4681,obsessivecompulsive behavior
R4689,other symptoms and signs involving appearance and behavior
R6819,other nonspecific symptoms peculiar to infancy
R6889,other general symptoms and signs
R69,illness unspecified
R7681,abnormal rheumatoid factor and anticitrullinated protein antibody without rheumatoid arthritis
R7689,other specified abnormal immunological findings in serum
R8281,pyuria
R8289,other abnormal findings on cytological and histological examination of urine
R99,illdefined and unknown cause of mortality
S3011XA,contusion of abdominal wall initial encounter
S3011XD,contusion of abdominal wall subsequent encounter
S3011XS,contusion of abdominal wall sequela
S3012XA,contusion of groin initial encounter
S3012XD,contusion of groin subsequent encounter
S3012XS,contusion of groin sequela
S3013XA,contusion of flank latus region initial encounter
S3013XD,contusion of flank latus region subsequent encounter
S3013XS,contusion of flank latus region sequela
S3081AA,abrasion of flank initial encounter
S3081AD,abrasion of flank subsequent encounter
S3081AS,abrasion of flank sequela
S3082AA,blister nonthermal of flank initial encounter
S3082AD,blister nonthermal of flank subsequent encounter
