code,description
A541,gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A5421,gonococcal infection of kidney and ureter
A5422,gonococcal prostatitis
A5423,gonococcal infection of other male genital organs
A5424,gonococcal female pelvic inflammatory disease
A5429,other gonococcal genitourinary infections
A5430,gonococcal infection of eye unspecified
A5431,gonococcal conjunctivitis
A5432,gonococcal iridocyclitis
A5433,gonococcal keratitis
A5439,other gonococcal eye infection
A5440,gonococcal infection of musculoskeletal system unspecified
A5441,gonococcal spondylopathy
A5442,gonococcal arthritis
A5443,gonococcal osteomyelitis
A5449,gonococcal infection of other musculoskeletal tissue
A545,gonococcal pharyngitis
A546,gonococcal infection of anus and rectum
A5481,gonococcal meningitis
A5482,gonococcal brain abscess
A5483,gonococcal heart infection
A5484,gonococcal pneumonia
A5485,gonococcal peritonitis
A5486,gonococcal sepsis
A5489,other gonococcal infections
A549,gonococcal infection unspecified
A55,chlamydial lymphogranuloma venereum
A5600,chlamydial infection of lower genitourinary tract unspecified
A5601,chlamydial cystitis and urethritis
A5602,chlamydial vulvovaginitis
A5609,other chlamydial infection of lower genitourinary tract
A5611,chlamydial female pelvic inflammatory disease
A5619,other chlamydial genitourinary infection
A562,chlamydial infection of genitourinary tract unspecified
A563,chlamydial infection of anus and rectum
A564,chlamydial infection of pharynx
A568,sexually transmitted chlamydial infection of other sites
A57,chancroid
A58,granuloma inguinale
A5900,urogenital trichomoniasis unspecified
A5901,trichomonal vulvovaginitis
A5902,trichomonal prostatitis
A5903,trichomonal cystitis and urethritis
A5909,other urogenital trichomoniasis
A598,trichomoniasis of other sites
A599,trichomoniasis unspecified
A6000,herpesviral infection of urogenital system unspecified
A6001,herpesviral infection of penis
A6002,herpesviral infection of other male genital organs
A6003,herpesviral cervicitis
A6004,herpesviral vulvovaginitis
A6009,herpesviral infection of other urogenital tract
A601,herpesviral infection of perianal skin and rectum
A609,anogenital herpesviral infection unspecified
A630,anogenital venereal warts
A638,other specified predominantly sexually transmitted diseases
A64,unspecified sexually transmitted disease
A65,nonvenereal syphilis
A660,initial lesions of yaws
A661,multiple papillomata and wet crab yaws
A662,other early skin lesions of yaws
A663,hyperkeratosis of yaws
A664,gummata and ulcers of yaws
A665,gangosa
A666,bone and joint lesions of yaws
A667,other manifestations of yaws
A668,latent yaws
A669,yaws unspecified
A670,primary lesions of pinta
A671,intermediate lesions of pinta
A672,late lesions of pinta
A673,mixed lesions of pinta
A679,pinta unspecified
A680,louseborne relapsing fever
A681,tickborne relapsing fever
A689,relapsing fever unspecified
A690,necrotizing ulcerative stomatitis
A691,other vincents infections
A6920,lyme disease unspecified
A6921,meningitis due to lyme disease
A6922,other neurologic disorders in lyme disease
A6923,arthritis due to lyme disease
A6929,other conditions associated with lyme disease
A698,other specified spirochetal infections
A699,spirochetal infection unspecified
A70,chlamydia psittaci infections
A710,initial stage of trachoma
A711,active stage of trachoma
A719,trachoma unspecified
A740,chlamydial conjunctivitis
A7481,chlamydial peritonitis
A7489,other chlamydial diseases
A749,chlamydial infection unspecified
A750,epidemic louseborne typhus fever due to rickettsia prowazekii
A751,recrudescent typhus brills disease
A752,typhus fever due to rickettsia typhi
A753,typhus fever due to rickettsia tsutsugamushi
A759,typhus fever unspecified
A770,spotted fever due to rickettsia rickettsii
A771,spotted fever due to rickettsia conorii
A772,spotted fever due to rickettsia siberica
A773,spotted fever due to rickettsia australis
A7740,ehrlichiosis unspecified
A7741,ehrlichiosis chaffeensis e chaffeensis
A7749,other ehrlichiosis
A778,other spotted fevers
A779,spotted fever unspecified
A78,q fever
A790,trench fever
A791,rickettsialpox due to rickettsia akari
A7981,rickettsiosis due to ehrlichia sennetsu
A7982,anaplasmosis a phagocytophilum
A7989,other specified rickettsioses
A799,rickettsiosis unspecified
A800,acute paralytic poliomyelitis vaccineassociated
A801,acute paralytic poliomyelitis wild virus imported
A802,acute paralytic poliomyelitis wild virus indigenous
A8030,acute paralytic poliomyelitis unspecified
A8039,other acute paralytic poliomyelitis
A804,acute nonparalytic poliomyelitis
A809,acute poliomyelitis unspecified
A8100,creutzfeldtjakob disease unspecified
A8101,variant creutzfeldtjakob disease
A8109,other creutzfeldtjakob disease
A811,subacute sclerosing panencephalitis
A812,progressive multifocal leukoencephalopathy
A8181,kuru
A8182,gerstmannstrausslerscheinker syndrome
A8183,fatal familial insomnia
A8189,other atypical virus infections of central nervous system
A819,atypical virus infection of central nervous system unspecified
A820,sylvatic rabies
A821,urban rabies
A829,rabies unspecified
A830,japanese encephalitis
A831,western equine encephalitis
A832,eastern equine encephalitis
A833,st louis encephalitis
A834,australian encephalitis
A835,california encephalitis
A836,rocio virus disease
A838,other mosquitoborne viral encephalitis
A839,mosquitoborne viral encephalitis unspecified
A840,far eastern tickborne encephalitis russian springsummer encephalitis
A841,central european tickborne encephalitis
A848,other tickborne viral encephalitis
A8481,powassan virus disease
A8489,other tickborne viral encephalitis
A849,tickborne viral encephalitis unspecified
A850,enteroviral encephalitis
A851,adenoviral encephalitis
A852,arthropodborne viral encephalitis unspecified
A858,other specified viral encephalitis
A86,unspecified viral encephalitis
A870,enteroviral meningitis
A871,adenoviral meningitis
A872,lymphocytic choriomeningitis
A878,other viral meningitis
A879,viral meningitis unspecified
A880,enteroviral exanthematous fever boston exanthem
A881,epidemic vertigo
A888,other specified viral infections of central nervous system
A89,unspecified viral infection of central nervous system
A90,dengue fever classical dengue
A91,dengue hemorrhagic fever
A920,chikungunya virus disease
A921,onyongnyong fever
A922,venezuelan equine fever
A9230,west nile virus infection unspecified
A9231,west nile virus infection with encephalitis
A9232,west nile virus infection with other neurologic manifestation
A9239,west nile virus infection with other complications
A924,rift valley fever
A925,zika virus disease
A928,other specified mosquitoborne viral fevers
A929,mosquitoborne viral fever unspecified
A930,oropouche virus disease
A931,sandfly fever
A932,colorado tick fever
A938,other specified arthropodborne viral fevers
A94,unspecified arthropodborne viral fever
A950,sylvatic yellow fever
A951,urban yellow fever
A959,yellow fever unspecified
A960,junin hemorrhagic fever
A961,machupo hemorrhagic fever
A962,lassa fever
A968,other arenaviral hemorrhagic fevers
A969,arenaviral hemorrhagic fever unspecified
A980,crimeancongo hemorrhagic fever
A981,omsk hemorrhagic fever
A982,kyasanur forest disease
A983,marburg virus disease
A984,ebola virus disease
A985,hemorrhagic fever with renal syndrome
A988,other specified viral hemorrhagic fevers
A99,unspecified viral hemorrhagic fever
B000,eczema herpeticum
B001,herpesviral vesicular dermatitis
B002,herpesviral gingivostomatitis and pharyngotonsillitis
B003,herpesviral meningitis
B004,herpesviral encephalitis
B0050,herpesviral ocular disease unspecified
B0051,herpesviral iridocyclitis
B0052,herpesviral keratitis
B0053,herpesviral conjunctivitis
B0059,other herpesviral disease of eye
B007,disseminated herpesviral disease
B0081,herpesviral hepatitis
B0082,herpes simplex myelitis
B0089,other herpesviral infection
B009,herpesviral infection unspecified
B010,varicella meningitis
B0111,varicella encephalitis and encephalomyelitis
B0112,varicella myelitis
B012,varicella pneumonia
B0181,varicella keratitis
B0189,other varicella complications
B019,varicella without complication
B020,zoster encephalitis
B021,zoster meningitis
B0221,postherpetic geniculate ganglionitis
B0222,postherpetic trigeminal neuralgia
B0223,postherpetic polyneuropathy
B0224,postherpetic myelitis
B0229,other postherpetic nervous system involvement
B0230,zoster ocular disease unspecified
B0231,zoster conjunctivitis
B0232,zoster iridocyclitis
B0233,zoster keratitis
B0234,zoster scleritis
B0239,other herpes zoster eye disease
B027,disseminated zoster
B028,zoster with other complications
B029,zoster without complications
B03,smallpox
B04,monkeypox
B050,measles complicated by encephalitis
B051,measles complicated by meningitis
B052,measles complicated by pneumonia
B053,measles complicated by otitis media
B054,measles with intestinal complications
B0581,measles keratitis and keratoconjunctivitis
B0589,other measles complications
B059,measles without complication
B0600,rubella with neurological complication unspecified
B0601,rubella encephalitis
B0602,rubella meningitis
B0609,other neurological complications of rubella
B0681,rubella pneumonia
B0682,rubella arthritis
B0689,other rubella complications
B069,rubella without complication
B070,plantar wart
B078,other viral warts
B079,viral wart unspecified
B08010,cowpox
B08011,vaccinia not from vaccine
B0802,orf virus disease
B0803,pseudocowpox milkers node
B0804,paravaccinia unspecified
B0809,other orthopoxvirus infections
B081,molluscum contagiosum
B0820,exanthema subitum sixth disease unspecified
